ToString() return = LastName: Ada, FirstName: Hall, EmployeeType: S, AnnualSalary: 184459
ToString() return = LastName: Melissa, FirstName: Kelley, EmployeeType: S, AnnualSalary: 59155
ToString() return = LastName: Blake, FirstName: Brown, EmployeeType: S, AnnualSalary: 103278
ToString() return = LastName: Alexia, FirstName: Douglas, EmployeeType: S, AnnualSalary: 45712
ToString() return = LastName: Aida, FirstName: Perkins, EmployeeType: S, AnnualSalary: 177716
ToString() return = LastName: Caroline, FirstName: Higgins, EmployeeType: S, AnnualSalary: 93103
ToString() return = LastName: Alissa, FirstName: Farrell, EmployeeType: S, AnnualSalary: 193497
ToString() return = LastName: Michelle, FirstName: Montgomery, EmployeeType: S, AnnualSalary: 162708
ToString() return = LastName: Kelvin, FirstName: Bailey, EmployeeType: S, AnnualSalary: 188411
ToString() return = LastName: Wilson, FirstName: Murray, EmployeeType: S, AnnualSalary: 123758
ToString() return = LastName: Lyndon, FirstName: Dixon, EmployeeType: S, AnnualSalary: 67672
ToString() return = LastName: Arnold, FirstName: Grant, EmployeeType: S, AnnualSalary: 158350
ToString() return = LastName: Lucy, FirstName: Nelson, EmployeeType: S, AnnualSalary: 100520
ToString() return = LastName: Ned, FirstName: Dixon, EmployeeType: S, AnnualSalary: 180082
ToString() return = LastName: Tony, FirstName: Cooper, EmployeeType: S, AnnualSalary: 182160
ToString() return = LastName: Julian, FirstName: Cooper, EmployeeType: H, HourlyRate: 22
ToString() return = LastName: Emma, FirstName: Clark, EmployeeType: H, HourlyRate: 15
ToString() return = LastName: Maximilian, FirstName: Edwards, EmployeeType: H, HourlyRate: 23
ToString() return = LastName: Mike, FirstName: Wells, EmployeeType: H, HourlyRate: 60
ToString() return = LastName: Ashton, FirstName: Bailey, EmployeeType: H, HourlyRate: 22
ToString() return = LastName: Amber, FirstName: Spencer, EmployeeType: H, HourlyRate: 21
ToString() return = LastName: Lyndon, FirstName: Walker, EmployeeType: H, HourlyRate: 18
ToString() return = LastName: Dominik, FirstName: Bailey, EmployeeType: H, HourlyRate: 11
ToString() return = LastName: Adelaide, FirstName: Cameron, EmployeeType: H, HourlyRate: 12
ToString() return = LastName: Amber, FirstName: Farrell, EmployeeType: H, HourlyRate: 15
